countryname,countrycode,co2,gdp,anio
Países Bajos                                                          ,NLD ,234257.9970000,24646.3143000,1994
Noruega                                                               ,NOR ,70005.9320000,29315.8419100,1994
Nepal                                                                 ,NPL ,25643.7849000,193.2795050,1994
Nauru                                                                 ,NRU ,0.0000000,,1994
Nueva Zelandia                                                        ,NZL ,68092.8100000,15280.3127800,1994
Miembros OCDE                                                         ,OED ,15752157.4900000,20237.9372900,1994
Omán                                                                  ,OMN ,37319.9954000,6013.1918670,1994
Otros Estados pequeos                                                 ,OSS ,145595.3795000,3250.8327250,1994
Pakistán                                                              ,PAK ,201063.0269000,434.4654114,1994
Panamá                                                                ,PAN ,8471.1861000,3489.1524060,1994
Perú                                                                  ,PER ,57507.2470000,1881.7371190,1994
Filipinas                                                             ,PHL ,117252.2590000,939.9186379,1994
Palau                                                                 ,PLW ,0.0000000,,1994
Papua Nueva Guinea                                                    ,PNG ,58386.8560000,1086.2918130,1994
Polonia                                                               ,POL ,448871.6320000,2874.8253110,1994
previa al dividendo demográfico                                       ,PRE ,2713798.7510000,316.1617471,1994
Puerto Rico                                                           ,PRI ,2912.4794900,10876.4188200,1994
"Corea, República Popular Democrática de                               ",PRK ,119835.7110000,,1994
Portugal                                                              ,PRT ,64486.0265000,9977.3198730,1994
Paraguay                                                              ,PRY ,54360.2320000,1686.8460010,1994
Ribera Occidental y Gaza                                              ,PSE ,0.0000000,1201.5815420,1994
Estados pequeos de las Islas del Pacfico                              ,PSS ,6842.6729350,1915.5758560,1994
posterior al dividendo demográfico                                    ,PST ,15005932.2400000,22644.4675700,1994
Polinesia Francesa                                                    ,PYF ,758.9154200,16444.0786800,1994
Qatar                                                                 ,QAT ,0.0000000,14544.0916400,1994
Rumania                                                               ,ROU ,170925.4280000,1323.1043250,1994
Federación de Rusia                                                   ,RUS ,2707580.7300000,2662.1040340,1994
Rwanda                                                                ,RWA ,3053.5275000,126.9547229,1994
Asia meridional                                                       ,SAS ,1972951.0800000,349.8730878,1994
Arabia Saudita                                                        ,SAU ,0.0000000,7421.2912310,1994
Sudán                                                                 ,SDN ,95753.1200000,449.7106937,1994
Senegal                                                               ,SEN ,11652.4041000,580.1177072,1994
Singapur                                                              ,SGP ,0.0000000,21553.0309000,1994
Islas Salomón                                                         ,SLB ,3811.9187000,1330.6095620,1994
Sierra Leona                                                          ,SLE ,8296.1596000,211.5924777,1994
El Salvador                                                           ,SLV ,9025.1887000,1380.7076300,1994
San Marino                                                            ,SMR ,0.0000000,,1994
Somalia                                                               ,SOM ,18252.9269600,,1994
Serbia                                                                ,SRB ,0.0000000,,1994
África al sur del Sahara (excluido altos ingresos)                    ,SSA ,3113124.5720000,543.7194879,1994
Sudán del Sur                                                         ,SSD ,0.0000000,,1994
África al sur del Sahara                                              ,SSF ,3115165.0340000,549.7310960,1994
Pequeños Estados                                                      ,SST ,192737.5451000,3146.3204390,1994
Santo Tomé y Príncipe                                                 ,STP ,102.9192150,,1994
Suriname                                                              ,SUR ,8490.7059000,1391.6009640,1994
República Eslovaca                                                    ,SVK ,53999.3950000,3771.3594270,1994
Eslovenia                                                             ,SVN ,18331.6882000,7564.7411840,1994
Suecia                                                                ,SWE ,82407.1700400,26083.6143900,1994
Eswatini                                                              ,SWZ ,2218.5804000,1563.7529530,1994
Sint Maarten (Dutch part)                                             ,SXM ,0.0000000,,1994
Seychelles                                                            ,SYC ,382.0808830,6555.5044070,1994
República Árabe Siria                                                 ,SYR ,57515.4129900,725.5680738,1994
Islas Turcas y Caicos                                                 ,TCA ,7.8319111,,1994
Chad                                                                  ,TCD ,16295.4520000,173.9903751,1994
Asia oriental y el Pacífico (BIRF y la AIF)                           ,TEA ,8479069.5530000,634.4352258,1994
Europa y Asia central (BIRF y la AIF)                                 ,TEC ,5058609.5220000,1931.9681390,1994
Togo                                                                  ,TGO ,11770.2668000,238.4653956,1994
Tailandia                                                             ,THA ,260304.4030000,2491.4280900,1994
Tayikistán                                                            ,TJK ,13056.7906000,268.0002958,1994
Turkmenistán                                                          ,TKM ,55777.5244000,622.3706261,1994
América Latina y el Caribe (BIRF y la AIF)                            ,TLA ,3161698.2870000,3750.0037730,1994
Timor-Leste                                                           ,TLS ,704.3451200,,1994
Oriente Medio y Norte de África (BIRF y la AIF)                       ,TMN ,966435.2441000,1201.4371700,1994
Tonga                                                                 ,TON ,155.0987080,2024.0021630,1994
